nombre;curso;email;telefono
Juan García López;1º ESO A;juan.garcia@iescanada.es;600111222
María Pérez Ruiz;1º ESO A;maria.perez@iescanada.es;600111333
Pedro Sánchez Gil;1º ESO B;pedro.sanchez@iescanada.es;600222111
Ana Martínez Díaz;2º ESO A;ana.martinez@iescanada.es;600222333
Luis Fernández Torres;2º ESO B;luis.fernandez@iescanada.es;600333111
Carmen López Navarro;3º ESO A;carmen.lopez@iescanada.es;600333222
David Romero Jiménez;3º ESO B;david.romero@iescanada.es;600444111
Laura Gómez Herrero;4º ESO A;laura.gomez@iescanada.es;600444222
Alejandro Ruiz Moreno;1º BACH A;alejandro.ruiz@iescanada.es;600555111
Sara Molina Castro;1º BACH B;sara.molina@iescanada.es;600555222
Pablo Ortega Vega;2º BACH A;pablo.ortega@iescanada.es;600666111
Lucía Ramírez Blanco;2º BACH B;lucia.ramirez@iescanada.es;600666222
